,word,freq
1377,wife,1
1378,work,1
1379,cannot,1
1380,kept,2
1381,rectify,1
1382,things,2
1383,rate,1
1384,said,1
1385,ask,3
1386,complete,1
1387,could,1
1388,day,1
1389,different,1
1390,every,3
1391,never,1
1392,request,1
1393,times,2
1394,worst,1
1395,additional,2
1396,happened,1
1397,lower,1
1398,friendly,1
1399,properties,1
1400,close,2
1401,several,2
1402,ready,1
1403,within,1
1404,banks,1
1405,received,1
1406,old,1
1407,problem,2
1408,second,1
1409,sent,1
1410,weeks_later,2
1411,asked,1
1412,assurance,1
1413,assure,1
1414,broken,1
1415,care,1
1416,clearly,1
1417,closed_weeks,1
1418,complained,1
1419,complaints,1
1420,completed,1
1421,count,1
1422,country,1
1423,customers,3
1424,departure,1
1425,depending,1
1426,disrespect,1
1427,documentation,3
1428,doesnt,1
1429,donna,6
1430,earlier_documentation,2
1431,example,1
1432,explained,2
1433,finally,1
1434,hadnt,1
1435,happen,1
1436,hard_get,1
1437,honestly,1
1438,hours,1
1439,imagine,1
1440,incompetent,1
1441,initial,1
1442,ive_ever,1
1443,justified,1
1444,life,1
1445,long,1
1446,mortgages,1
1447,occasion,1
1448,owe,1
1449,owned,1
1450,patterns,1
1451,promise,3
1452,promises,1
1453,pushed,1
1454,quick_respond,1
1455,recured,1
1456,rep,1
1457,repeats,1
1458,requests,1
1459,respectful,1
1460,respond,1
1461,responded,1
1462,single,2
1463,someone,1
1464,something,1
1465,sorry,1
1466,sounded,1
1467,star,1
1468,taken,1
1469,tell,1
1470,traveling,1
1471,treats,1
1472,unable,1
1473,unfold,1
1474,unwilling,1
1475,violated,1
1476,wasnt,1
1477,wifes,1
1478,wished,1
1479,previous,1
1480,lender,1
1481,phone,1
1482,list,1
1483,contacted,1
1484,disturbing,1
1485,number,1
1486,registering,1
1487,site,1
1488,unprofessional,1
1489,refinance,1
1490,without,1
1491,time,2
1492,communication,1
1493,making,1
1494,using,1
1495,company,2
1496,never,1
1497,mistake,2
1498,lenders,1
1499,amount,1
1500,problems,1
1501,started_refinance,1
1502,assurance,1
1503,completed,1
1504,anyone,1
1505,minimal,1
1506,north_american,1
1507,prevent,1
1508,reviews,1
1509,savings,1
1510,standard,1
1511,write,1
1512,past,1
1513,without,1
1514,less,2
1515,started,1
1516,stressful,1
1517,took,1
1518,closing,3
1519,back,1
1520,later,1
1521,get,1
1522,told,2
1523,also,1
1524,home,1
1525,take,1
1526,wife,1
1527,could,3
1528,day,2
1529,send,2
1530,asking,1
1531,credit,1
1532,four,1
1533,nasb,1
1534,wouldnt,1
1535,close,1
1536,five,1
1537,years,1
1538,days,1
1539,purchased,1
1540,still,1
1541,personal,1
1542,sent,2
1543,used,1
1544,already,1
1545,notary,1
1546,accept,1
1547,agreed,1
1548,attorney,1
1549,bob,2
1550,check,3
1551,consent,1
1552,coordinate,1
1553,docs,3
1554,driving,1
1555,fedex,1
1556,fly,1
1557,goods,1
1558,household,1
1559,houses,1
1560,knowledge,1
1561,paperwork,1
1562,power,1
1563,ran,1
1564,read,1
1565,sale,1
1566,unpacked,1
1567,weeksit,1
1568,excellent,1
1569,experience,1
1570,loan,1
1571,closing,1
1572,got,1
1573,immediately,1
1574,weeks,1
1575,get,1
1576,lender,1
1577,made,1
1578,better,1
1579,credit,1
1580,sign,1
1581,nasb,1
1582,income,1
1583,tons,1
1584,contacted,1
1585,problems,1
1586,promises,1
1587,rep,1
1588,closing_date,1
1589,disappeared,1
1590,etc,1
1591,failed,1
